code, chinese_name, latin_name, english_name, location_description
LU1,中府,Zhongfu,Central Mansion,"Below clavicle, 6 cun lateral to midline, level with 1st intercostal space"
LU2,云门,Yunmen,Cloud Gate,"Below lateral clavicle in deltopectoral groove, 6 cun lateral to midline"
LU3,天府,Tianfu,Heavenly Residence,"On radial side of biceps brachii, 3 cun inferior to anterior axillary fold"
LU4,侠白,Xiabai,Guarding White,"On anterolateral upper arm, 4 cun below anterior axillary fold, lateral to biceps brachii"
LU5,尺泽,Chize,Cubit Marsh,"Elbow crease, radial side of biceps tendon"
LU6,孔最,Kongzui,Converging Hole,7 cun above wrist crease on radial side
LU7,列缺,Lieque,Broken Sequence,"1.5 cun above wrist, radial styloid process"
LU8,经渠,Jingqu,Channel Ditch,"On the anterolateral forearm, between radial styloid process and radial artery, 1 cun above LU9"
LU9,太渊,Taiyuan,Great Abyss,"Radial end of wrist crease, radial artery pulse"
LU10,鱼际,Yuji,Fish Border,"Midpoint of 1st metacarpal, thenar eminence"
LU11,少商,Shaoshang,Lesser Shang,"Thumb radial side, 0.1 cun from nail corner"
LI1,商阳,Shangyang,Shang Yang,"Index finger radial side, 0.1 cun from nail corner"
LI2,二间,Erjian,Second Space,"Index finger radial side, distal to MCP joint"
LI3,三间,Sanjian,Third Space,"Index finger radial side, proximal to MCP joint"
LI4,合谷,Hegu,Large Intestine-4,"On the dorsum of the hand, radial to the midpoint of the second metacarpal bone."
LI5,阳溪,Yangxi,Yang Ravine,Wrist radial side between tendons
LI6,偏历,Pianli,Veering Passage,3 cun above Yangxi (LI5) on radial forearm
LI7,温溜,Wenliu,Warm Flow,"On the posterolateral forearm, 5 cun above the dorsal wrist crease, on line LI5–LI11"
LI8,下廉,Xialian,Lower Ridge,"On the posterolateral forearm, 4 cun below the cubital crease, 1 cun below LI9, on the line connecting LI5 to LI11"
LI9,上廉,Shanglian,Upper Ridge,"On the posterolateral forearm, 3 cun below the cubital crease, on the line LI5–LI11"
LI10,手三里,Shousanli,Arm Three Miles,2 cun below Quchi (LI11) on LI meridian
LI11,曲池,Quchi,Crooked Pool,Lateral end of elbow crease when flexed
LI12,肘髎,Zhouliao,Elbow Crevice,"On the posterolateral elbow, superior to the lateral epicondyle of humerus, anterior to the lateral supracondylar ridge"
LI13,手五里,Shouwuli,Upper Arm Path,"On the lateral aspect of the upper arm, 3 cun above the cubital crease, on line LI11–LI15"
LI14,臂臑,Binao,Upper Arm Pivot,"On the lateral side of the upper arm, 7 cun above LI11, anterior to the deltoid muscle"
LI15,肩髃,Jianyu,Shoulder Bone,"In the depression anterior to the acromion, between lateral border of acromion and greater tubercle of humerus"
LI16,巨骨,Jugu,Great Bone,"In the depression between the acromial end of clavicle and spine of scapula, lateral to suprascapular fossa"
LI17,天鼎,Tianding,Celestial Tripod,"At anterior neck, level with cricoid cartilage, just posterior to sternocleidomastoid border; inferior to LI18, level with St10"
LI18,扶突,Futu,Support Prominence,"At level of superior border of thyroid cartilage, between anterior and posterior borders of sternocleidomastoid muscle"
LI19,口禾髎,Kouheliao,Mouth Grain Crevice,"At level of midpoint of philtrum, inferior to lateral nostril margin, 0.5 cun lateral to GV26"
LI20,迎香,Yingxiang,Welcome Fragrance,"Nasolabial groove, level with ala nasi midpoint"
ST1,承泣,Chengqi,Tear Container,"Below pupil, between eyeball and infraorbital ridge"
ST2,四白,Sibai,Four Whites,"Below pupil, infraorbital foramen depression"
ST3,巨髎,Juliao,Great Bone Hole,"Directly below pupil, level with inferior border of ala of nose, at vertical line of pupil intersecting horizontal line of ala nose"
ST4,地仓,Dicang,Earth Granary,0.4 cun lateral to mouth corner
ST5,大迎,Daying,Great Welcome,"Anterior to mandibular angle, in depression anterior to masseter attachment, over facial artery"
ST6,颊车,Jiache,Cheek Bone,1 finger breadth anterior/superior to mandible angle
ST7,下关 ,Xiaguan,Lower Gate,Anterior to mandibular condyle
ST8,头维,Touwei,Head Corner,0.5 cun within hairline at temporal corner
ST9,人迎,Renying,Person's Welcome,"Level with Adam's apple, lateral to carotid artery"
ST10,水突,Shuitu,Water Prominence,"At level of cricoid cartilage, anterior to sternocleidomastoid border"
ST11,气舍,Qishe,Qi Abode,"In the lesser supraclavicular fossa, superior to sternal end of clavicle, between sternal and clavicular heads of sternocleidomastoid muscle"
ST12,缺盆,Quepen,Missing Basin,"In greater supraclavicular fossa, 4 cun lateral to anterior median line, above clavicle"
ST13,气户,Qihu,Qi Door,"Inferior to clavicle, 4 cun lateral to anterior median line"
ST14,库房,Kufang,Storehouse,"In the 1st intercostal space, 4 cun lateral to anterior median line"
ST15,屋翳,Wuyi,Rooftop Shield,"In the 2nd intercostal space, 4 cun lateral to anterior median line"
ST16,膺窗,Yingchuang,Chest Window,"In 3rd intercostal space, 4 cun lateral to anterior median line"
ST17,乳中,Ruzhong,Middle of the Breast,At center of nipple (4th intercostal space in males)
ST18,乳根,Rugen,Root of the Breast,"In 5th intercostal space, 4 cun lateral to anterior median line; nipple line intersection (male), midpoint of inferior breast crease (female)"
ST19,不容,Burong,Not Contained,"6 cun superior to umbilicus center, 2 cun lateral to anterior median line"
ST20,承满,Chengman,Supporting Fullness,"5 cun above umbilicus, 2 cun lateral to anterior median line"
ST21,梁门,Liangmen,Beam Gate,"4 cun above umbilicus, 2 cun lateral to midline"
ST22,梁门,Guanmen,Gate of the Pass,"3 cun above umbilicus, 2 cun lateral to anterior midline"
ST23,太乙,Taiyi,Supreme Unity,"2 cun above umbilicus, 2 cun lateral to anterior midline"
ST24,滑肉门,Huaroumen,Slippery Flesh Gate,"1 cun above umbilicus, 2 cun lateral to anterior midline"
ST25,天枢,Tianshu,Celestial Pivot,2 cun lateral to umbilicus
ST26,外陵,Wailing,Outer Mound,"1 cun below umbilicus, 2 cun lateral to anterior median line"
ST27,大巨,Daju,Great Gigantic,"2 cun below umbilicus, 2 cun lateral to anterior median line"
ST28,水道,Shuidao,Water Passage,"3 cun below umbilicus, 2 cun lateral to midline"
ST29,归来,Guilai,Return,"4 cun below umbilicus, 2 cun lateral to midline"
ST30,气冲,Qichong,Qi Thoroughfare,"5 cun below umbilicus, 2 cun lateral to midline"
ST31,髀关,Biguan,Thigh Gate,At the intersection of the line from ASIS to lateral patella base and horizontal line of pubic symphysis
ST32,伏兔,Futu,Crouching Rabbit,"6 cun above patella, on quadriceps muscle"
