code,effects_name
LU1,promotes Lung Qi descent
LU1,stops cough and wheezing
LU1,resolves phlegm and clears Lung Heat
LU1,relieves chest fullness and upper back tension
LU2,alleviates arm numbness and coldness due to cervical radiculopathy
LU2,reduces neck and shoulder stiffness
LU3,clears Lung Heat
LU3,cools blood
LU3,stops bleeding
LU3,treats cough
LU3,asthma
LU3,goitre
LU3,dizziness
LU3,regulates head-body Qi and calms the mind
LU4,regulates Lung Qi and relieves cough and dyspnea
LU4,helps with local arm pain and channel circulation
LU5,clears Lung Heat and rebellious Qi
LU5,nourishes Lung Yin
LU5,resolves phlegm-heat
LU5,helps with edema
LU5,diarrhea
LU5,elbow and back pain
LU6,clears heat
LU6,moistens the Lung
LU6,stops bleeding
LU6,acute cough
LU6,asthma
LU6,sore throat
LU6,hemoptysis
LU7,releases exterior wind
LU7,opens Lung channel
LU7,promotes descending Qi
LU7,treats cough
LU7,asthma
LU7,headaches
LU7,facial paralysis
LU7,wrist pain
LU8,descends Lung Qi and alleviates cough and wheezing
LU8,clears Lung channel and calms asthma
LU9,tonifies Lung Qi and Yin
LU9,transforms phlegm
LU9,major point for chronic cough
LU9,asthma
LU9,weak pulse
LU10,clears Lung heat and benefits the throat
LU10,treats sore throat
LU10,fever
LU10,loss of voice
LU11,revives consciousness
LU11,clears heat
LU11,benefits throat
LU11,used for sore throat
LU11,high fever
LU11,tonsillitis
LU11,loss of consciousness
LI1,clears heat
LI1,reduces swelling
LI1,revives consciousness
LI1,sore throat
LI1,febrile disease
LI1,nosebleed
LI2,clears heat
LI2,reduces swelling
LI2,benefits throat and teeth
LI2,used for gum pain
LI2,mouth ulcers
LI3,clears heat
LI3,benefits throat and teeth
LI3,dispels wind and heat
LI3,useful for sore throat
LI3,toothache
LI5,clears heat
LI5,alleviates pain
LI5,benefits the wrist
LI5,treats sore throat
LI5,toothache
LI5,local wrist pain
LI6,expels wind and clears heat
LI6,opens and regulates water passages
LI6,used for facial swelling
LI6,rhinitis
LI7,clears heat
LI7,detoxifies poison
LI7,regulates intestines and stomach
LI7,treats facial paralysis
LI7,boils
LI7,acute conditions
LI8,harmonizes the Small Intestine
LI8,relieves abdominal pain
LI8,borborygmus
LI8,cold limbs
LI9,regulates Qi and blood in the arm
LI9,used for motor impairment
LI9,numbness
LI9,arm pain
LI10,tonifies Qi and blood
LI10,commonly used for arm pain
LI10,weakness
LI10,paralysis
LI10,and gastrointestinal disorders
LI11,dispel wind & clear heat
LI11,relieve itching
LI11,relieve arm/elbow pain
LI11,reduce hypertension
LI11,improve bowel function
LI12,promote circulation & unblock collaterals
LI12,relieve elbow/arm pain
LI12,numbness
LI12,spasm
LI12,dispel cold & damp
LI13,unblock collaterals & relieve swelling/pain
LI13,improve upper limb circulation
LI13,treat arm weakness
LI13,lymph node issues
LI13,cough with bleeding
LI14,unblock meridians and relieve shoulder pain and numbness
LI15,expel wind-damp
LI15,unblock collaterals
LI15,relieve shoulder-arm pain
LI15,paralysis
LI15,neck stiffness
LI16,unblock collaterals & stop bleeding
LI16,relieve shoulder/arm pain/spasm
LI16,reduce phlegm/nodes
LI16,treat cough with bleeding
LI17,regulate qi & clear throat
LI17,reduce swelling & pain
LI17,resolve phlegm
LI17,relieve throat pain
LI17,difficulty swallowing
LI17,goiter
LI18,regulate qi & throat
LI18,clear heat & relieve swelling/pain
LI18,treat cough
LI18,asthma
LI18,throat swelling
LI18,hoarseness
LI19,expel wind & clear heat
LI19,open nasal passages
LI19,treat nasal congestion
LI19,rhinitis
LI19,facial paralysis
LI20,clear nasal passages
LI20,relieve nasal congestion
LI20,rhinitis
LI20,sinusitis
LI20,promote lung function
ST1,benefits eyes
ST1,dispels wind-heat
ST1,alleviates facial paralysis.
ST2,clears heat from the Stomach channel
ST2,benefits eyes
ST2,relieves facial swelling.
ST3,relieves infraorbital pain
ST3,reduces swelling
ST3,clears heat.
ST4,dispels wind
ST4,benefits the mouth
ST4,relieves facial paralysis.
ST5,regulates the jaw
ST5,benefits teeth
ST5,relieves jaw pain.
ST6,relieves jaw and facial pain
ST6,calms the spirit.
ST7,alleviates ear and jaw pain
ST7,treats otitis media.
ST8,dispels wind
ST8,relieves headache and dizziness.
ST9,regulates qi and blood
ST9,benefits throat and neck.
ST10,clears phlegm
ST10,benefits the throat
ST10,relieves cough.
ST11,regulates chest qi
ST11,dissipates nodules.
ST12,benefits throat and skin
ST12,dispels lung heat.
ST13,unbinds chest
ST13,regulates qi
ST13,relieves cough.
ST14,opens chest
ST14,benefits lungs
ST14,relieves cough.
ST15,unbinds chest
ST15,benefits breasts
ST15,alleviates mastitis.
ST16,benefits eyes and ears
ST16,clears wind.
ST17,landmark only
ST17,not needled.
ST18,regulates breasts and lactation
ST18,relieves mastitis.
ST19,regulates stomach qi
ST19,relieves epigastric pain.
ST20,harmonizes Stomach
ST20,regulates qi
ST20,relieves fullness.
ST21,regulates qi
ST21,harmonizes middle jiao
ST21,relieves abdominal distention.
ST22,unbinds Ren channel
ST22,regulates digestion
ST22,relieves bloating.
ST23,harmonizes middle jiao
ST23,alleviates abdominal pain.
ST24,harmonizes stomach
ST24,relieves abdominal pain and diarrhea.
ST25,regulates intestines
ST25,alleviates constipation and diarrhea.
ST26,regulates Chong channel
ST26,alleviates dysmenorrhea.
ST27,regulates qi
ST27,relieves hernia and abdominal pain.
ST28,regulates water passages
ST28,benefits urination.
ST29,regulates Ren channel
ST29,benefits uterus
ST29,relieves menstrual disorders.
ST30,regulates lower jiao qi
ST30,relieves hernia and abdominal pain.
ST31,benefits hip joint
ST31,relieves thigh pain.
ST32,regulates stomach and spleen channels in the thigh
ST32,relieves thigh pain and paralysis
ST32,benefits the knee joint.
ST33,regulates qi and blood of the lower limb
ST33,alleviates pain and swelling of the inguinal region and thigh.
ST34,harmonizes Stomach channel
ST34,releases stagnation
ST34,benefits the knee
ST34,relieves pain and swelling in the knee.
ST35,clears heat from the knee
ST35,reduces swelling
ST35,alleviates knee pain and immobility.
ST36,regulate spleen/stomach
ST36,improve digestion
ST36,treat gastritis
ST36,ulcers
ST36,indigestion
ST36,constipation
ST36,boost qi & immune function
ST36,relieve fatigue
ST36,anti-inflammatory
ST36,improve insulin sensitivity and blood flow
ST37,regulates intestines and alleviates diarrhea.
ST38,alleviates shoulder pain and improves shoulder mobility.
ST39,regulates small intestine qi and relieves abdominal discomfort.
ST40,transforms phlegm and dampness
ST40,calms the mind.
ST41,clears heat from the stomach channel
ST41,relieves ankle pain.
ST42,clears heat and harmonizes the stomach channel.
ST43,regulates the spleen and dispels dampness.
ST44,clears heat
ST44,calms the spirit.
ST45,clears stomach heat
ST45,restores consciousness.
SP1,regulates the spleen
SP1,stops bleeding.
SP2,resolves dampness and clears heat from the spleen channel.
SP3,tonifies the spleen
SP3,harmonizes the middle jiao.
SP4,tonifies the spleen
SP4,harmonizes the Chong channel
SP4,calms the spirit.
SP5,tonifies the spleen
SP5,disperses dampness
SP5,supports sinews and bones.
SP6,regulates menstruation and calms the mind.
SP7,clears damp-heat
SP7,promotes urination.
SP8,harmonizes the spleen
SP8,regulates menstruation.
SP9,opens and moves water passages
SP9,resolves dampness.
SP10,invigorates and cools the blood
SP10,dispels blood stasis.
